date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2009-03-30,sh.000042,1283.8900,1289.6600,1268.5700,1274.5300,0.0000,3050870000,30246000000.0000,3,0.017542,1,0.000000,0
2009-03-31,sh.000042,1250.2500,1288.2200,1240.1100,1284.5500,1274.5300,2797940000,29073000000.0000,3,0.016088,1,0.786174,0
2009-04-01,sh.000042,1291.6700,1313.2200,1288.1200,1304.4900,1284.5500,3844590000,37226000000.0000,3,0.022106,1,1.552290,0
2009-04-02,sh.000042,1310.6500,1334.1700,1310.1700,1320.2300,1304.4900,4334050000,40454000000.0000,3,0.024921,1,1.206601,0
2009-04-03,sh.000042,1332.8400,1342.4700,1314.5500,1321.7800,1320.2300,4042300000,36756000000.0000,3,0.023243,1,0.117407,0
2009-04-07,sh.000042,1323.1600,1340.4300,1308.0100,1327.3800,1321.7800,2892280000,27296000000.0000,3,0.016631,1,0.423669,0
2009-04-08,sh.000042,1319.9100,1324.3000,1271.0100,1271.0900,1327.3800,3334680000,32324000000.0000,3,0.019174,1,-4.240687,0
2009-04-09,sh.000042,1269.2000,1286.4300,1257.5000,1285.9000,1271.0900,2210600000,22147000000.0000,3,0.012711,1,1.165146,0
2009-04-10,sh.000042,1297.9300,1323.9800,1291.6100,1323.3100,1285.9000,3253080000,33395000000.0000,3,0.018705,1,2.909249,0
2009-04-13,sh.000042,1338.4700,1372.0800,1335.6500,1366.0600,1323.3100,5015340000,50501000000.0000,3,0.028838,1,3.230535,0
2009-04-14,sh.000042,1365.3300,1377.2600,1357.0300,1372.5500,1366.0600,3272430000,35852000000.0000,3,0.018816,1,0.475088,0
2009-04-15,sh.000042,1365.7400,1375.4300,1340.8700,1371.7900,1372.5500,3641690000,36820000000.0000,3,0.020940,1,-0.055372,0
2009-04-16,sh.000042,1372.5300,1380.7200,1346.1700,1367.3600,1371.7900,3765270000,37719000000.0000,3,0.021650,1,-0.322940,0
2009-04-17,sh.000042,1361.4300,1371.4900,1337.9100,1351.1000,1367.3600,3074750000,32380000000.0000,3,0.017680,1,-1.189154,0
2009-04-20,sh.000042,1348.0200,1379.5600,1345.9300,1378.2700,1351.1000,2946060000,28805000000.0000,3,0.016940,1,2.010957,0
2009-04-21,sh.000042,1356.5400,1371.8400,1340.4400,1360.1200,1378.2700,3205400000,30818000000.0000,3,0.018431,1,-1.316870,0
