date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-04-01,sh.688048,88.0000,88.0000,75.3800,79.6000,80.8000,17106858,1385066930.2600,3,58.502400,1,-1.485100,0
2022-04-06,sh.688048,79.8100,79.8800,71.1200,74.2500,79.6000,7180608,537349680.1300,3,24.556400,1,-6.721100,0
2022-04-07,sh.688048,72.9800,73.0100,69.0500,69.6700,74.2500,5981859,422252489.4100,3,20.456900,1,-6.168400,0
2022-04-08,sh.688048,69.2000,70.5000,63.9500,64.6400,69.6700,6414891,427913221.5400,3,21.937800,1,-7.219800,0
2022-04-11,sh.688048,63.1800,63.9900,60.2000,62.2000,64.6400,4500830,279453211.5700,3,15.392000,1,-3.774800,0
2022-04-12,sh.688048,61.5500,68.6400,61.5300,68.0100,62.2000,4885131,322412779.8400,3,16.706300,1,9.340800,0
2022-04-13,sh.688048,67.3300,70.8600,66.3100,69.9900,68.0100,3802854,263195494.8800,3,13.005100,1,2.911300,0
2022-04-14,sh.688048,69.9900,71.9300,67.6700,68.9700,69.9900,2735961,190952837.1600,3,9.356500,1,-1.457400,0
2022-04-15,sh.688048,67.0000,70.4300,66.3800,69.0400,68.9700,2581040,176220631.3500,3,8.826700,1,0.101500,0
2022-04-18,sh.688048,68.0000,75.0200,67.6800,74.6000,69.0400,2888818,210291477.5900,3,9.879200,1,8.053300,0
2022-04-19,sh.688048,73.1100,74.8200,72.2700,73.2500,74.6000,1580122,115997645.4400,3,5.403700,1,-1.809700,0
2022-04-20,sh.688048,73.3300,74.5000,71.5000,74.2000,73.2500,1668834,122640566.4000,3,5.707100,1,1.296900,0
2022-04-21,sh.688048,73.8100,76.4600,72.3800,75.2000,74.2000,1763575,131677021.5500,3,6.031100,1,1.347700,0
2022-04-22,sh.688048,74.8000,74.9900,67.6700,68.5000,75.2000,2465342,175679444.8300,3,8.431000,1,-8.909600,0
2022-04-25,sh.688048,66.9100,70.9500,65.1100,67.7800,68.5000,1882743,129293807.2200,3,6.438600,1,-1.051100,0
2022-04-26,sh.688048,67.7800,72.4700,66.0100,69.3000,67.7800,1838935,127402260.3400,3,6.288800,1,2.242500,0
2022-04-27,sh.688048,68.1100,73.1400,67.0600,71.4500,69.3000,1915601,134818356.1900,3,6.551000,1,3.102500,0
2022-04-28,sh.688048,71.0500,71.1800,67.3900,68.7000,71.4500,1609166,110624800.2300,3,5.503100,1,-3.848800,0
2022-04-29,sh.688048,68.7000,74.7000,68.7000,73.3700,68.7000,1604795,116010355.3100,3,5.488100,1,6.797700,0
2022-05-05,sh.688048,72.2000,73.7500,70.8800,70.8800,73.3700,1904938,137752083.9200,3,6.514600,1,-3.393800,0
2022-05-06,sh.688048,68.8100,69.8700,66.7300,66.8000,70.8800,1993591,135240624.3300,3,6.817700,1,-5.756200,0
2022-05-09,sh.688048,66.9600,68.1000,65.5000,67.5800,66.8000,1019991,68657782.3500,3,3.488200,1,1.167700,0
2022-05-10,sh.688048,66.4100,72.4000,65.6900,71.2300,67.5800,2037181,143339948.6300,3,6.966800,1,5.401000,0
2022-05-11,sh.688048,71.1800,77.8000,70.5000,74.5200,71.2300,2719232,201678632.3100,3,9.299300,1,4.618800,0
2022-05-12,sh.688048,74.4800,82.1500,73.9900,82.1500,74.5200,3664850,286963761.6000,3,12.533100,1,10.238900,0
2022-05-13,sh.688048,81.1900,82.0000,79.3900,81.0500,82.1500,1777690,143587225.9600,3,6.079400,1,-1.339000,0
2022-05-16,sh.688048,81.2500,82.8700,78.2600,79.3700,81.0500,1206474,96389896.0300,3,4.125900,1,-2.072800,0
2022-05-17,sh.688048,79.2800,81.7700,78.5300,80.7400,79.3700,1587829,128029095.6300,3,5.430100,1,1.726100,0
2022-05-18,sh.688048,80.1200,81.2300,77.0500,78.1300,80.7400,1922850,151965896.0000,3,6.575800,1,-3.232600,0
2022-05-19,sh.688048,77.0600,80.7700,76.2800,78.1200,78.1300,2126394,166751632.0800,3,7.271900,1,-0.012800,0
2022-05-20,sh.688048,78.0900,81.3800,76.5000,80.0800,78.1200,1844377,145409831.3100,3,6.307400,1,2.509000,0
2022-05-23,sh.688048,80.0000,83.8800,79.0700,81.6800,80.0800,1894608,154623224.6900,3,6.479200,1,1.998000,0
2022-05-24,sh.688048,81.4000,81.6800,74.5300,75.1800,81.6800,2530349,196191510.1500,3,8.653300,1,-7.957900,0
2022-05-25,sh.688048,75.3500,76.4400,73.6000,75.7900,75.1800,1456617,109141257.9500,3,4.981400,1,0.811400,0
2022-05-26,sh.688048,75.3200,77.3100,74.8700,75.5000,75.7900,1274873,96999611.4300,3,4.359800,1,-0.382600,0
2022-05-27,sh.688048,75.6000,77.3300,74.7400,76.0100,75.5000,1038543,79032022.5500,3,3.551600,1,0.675500,0
2022-05-30,sh.688048,76.5400,86.1800,76.5400,85.1700,76.0100,2963436,244331972.1100,3,10.134400,1,12.051000,0
2022-05-31,sh.688048,85.0300,89.7500,84.5300,88.1000,85.1700,2804280,244842157.5200,3,9.590100,1,3.440200,0
2022-06-01,sh.688048,87.0000,90.2100,86.3300,89.2000,88.1000,1707433,151205591.1700,3,5.839100,1,1.248600,0
2022-06-02,sh.688048,89.8000,92.8700,88.0300,91.3700,89.2000,2452403,222613993.4400,3,8.386800,1,2.432700,0
2022-06-06,sh.688048,94.8800,102.7000,92.3200,98.5000,91.3700,4254581,416338849.1600,3,14.549900,1,7.803400,0
2022-06-07,sh.688048,97.1400,101.4600,96.0000,99.4400,98.5000,2505218,246082051.7900,3,8.567400,1,0.954300,0
2022-06-08,sh.688048,99.4000,103.8800,96.9000,98.4000,99.4400,2413776,240800353.9900,3,8.254700,1,-1.045900,0
2022-06-09,sh.688048,98.4900,101.8500,94.5000,94.5000,98.4000,2375091,229886296.1100,3,8.122400,1,-3.963400,0
2022-06-10,sh.688048,93.5000,97.3000,92.9100,97.0000,94.5000,2061110,196998708.1400,3,7.048600,1,2.645500,0
2022-06-13,sh.688048,96.8500,99.7400,95.0000,95.7400,97.0000,1596246,154449968.7400,3,5.458900,1,-1.299000,0
2022-06-14,sh.688048,94.8800,94.8800,89.2700,92.5000,95.7400,2133921,195144975.6100,3,7.297600,1,-3.384200,0
2022-06-15,sh.688048,92.5000,97.8500,91.8700,92.0300,92.5000,1764007,166232049.0300,3,6.032600,1,-0.508100,0
2022-06-16,sh.688048,92.1600,95.9600,92.0000,94.2900,92.0300,1330910,125735184.1200,3,4.551500,1,2.455700,0
2022-06-17,sh.688048,92.5400,97.0000,92.3400,95.3800,94.2900,1425020,134764445.6500,3,4.873300,1,1.156000,0
2022-06-20,sh.688048,96.8000,98.7000,92.0100,96.3600,95.3800,1623277,155541437.7800,3,5.551300,1,1.027500,0
2022-06-21,sh.688048,96.0500,104.9900,94.0800,99.5000,96.3600,2062899,206247010.6900,3,7.054700,1,3.258600,0
2022-06-22,sh.688048,100.5000,109.0000,100.5000,105.6000,99.5000,2865896,301556932.6800,3,9.800900,1,6.130700,0
2022-06-23,sh.688048,105.0000,113.3100,102.0000,111.2100,105.6000,2911246,313478610.4300,3,9.955900,1,5.312500,0
2022-06-24,sh.688048,108.9300,113.3800,107.0500,111.5000,111.2100,1877293,207285175.9300,3,6.420000,1,0.260800,0
2022-06-27,sh.688048,112.5000,115.7700,109.2800,110.6100,111.5000,1715535,191735907.4100,3,5.866800,1,-0.798200,0
2022-06-28,sh.688048,110.8500,114.8600,108.1800,114.0000,110.6100,1614653,179782138.0700,3,5.521800,1,3.064800,0
2022-06-29,sh.688048,112.0000,115.7000,109.7900,110.1600,114.0000,1463300,163975124.6300,3,5.004200,1,-3.368400,0
2022-06-30,sh.688048,111.0600,122.8000,111.0600,121.6800,110.1600,1953533,231105589.5300,3,6.680700,1,10.457500,0
2022-07-01,sh.688048,121.0500,124.8400,117.5000,119.2500,121.6800,1339989,160998900.6800,3,4.582500,1,-1.997000,0
2022-07-04,sh.688048,119.7000,119.8000,113.0000,118.3000,119.2500,1485367,173985886.8300,3,5.079700,1,-0.796600,0
2022-07-05,sh.688048,118.4500,120.8000,111.5000,113.0000,118.3000,1928257,220241542.4700,3,6.594300,1,-4.480100,0
2022-07-06,sh.688048,113.0000,116.8800,111.6000,113.7700,113.0000,1149646,131541473.2000,3,3.931600,1,0.681400,0
2022-07-07,sh.688048,116.1000,123.6900,114.5000,122.0100,113.7700,1634685,195628697.3000,3,5.590300,1,7.242700,0
2022-07-08,sh.688048,123.0000,126.5000,120.0200,122.4200,122.0100,1304906,161417084.4500,3,4.462500,1,0.336000,0
2022-07-11,sh.688048,121.5000,122.7100,118.0000,121.3700,122.4200,1465746,175391140.9000,3,5.012600,1,-0.857700,0
2022-07-12,sh.688048,120.8000,120.8000,109.5000,110.0200,121.3700,2335137,264649212.7700,3,7.985800,1,-9.351600,0
2022-07-13,sh.688048,109.1900,112.8000,104.8000,110.2200,109.5200,1890685,206012030.7400,3,6.465800,1,0.639200,0
2022-07-14,sh.688048,111.0000,117.5200,109.6600,114.3800,110.2200,1279017,146598243.0700,3,4.374000,1,3.774300,0
2022-07-15,sh.688048,114.3800,119.2500,113.0000,114.3800,114.3800,1076236,124973517.3200,3,3.680500,1,0.000000,0
2022-07-18,sh.688048,114.5700,125.9900,112.5000,125.6500,114.3800,1787304,214418679.2500,3,6.112300,1,9.853100,0
2022-07-19,sh.688048,125.0100,128.4900,122.0000,127.1500,125.6500,1257987,158099123.3700,3,4.302100,1,1.193800,0
2022-07-20,sh.688048,127.1400,129.0800,122.1400,123.4000,127.1500,1119064,139812974.7700,3,3.827000,1,-2.949300,0
2022-07-21,sh.688048,122.6800,135.0000,122.1900,129.4000,123.4000,2081602,269795544.2400,3,7.118700,1,4.862200,0
2022-07-22,sh.688048,128.4800,134.0000,127.3500,131.8700,129.4000,1242620,162945148.3700,3,4.249500,1,1.908800,0
2022-07-25,sh.688048,130.6000,143.5000,130.1200,140.4900,131.8700,1632480,227205769.2900,3,5.582800,1,6.536700,0
